pickup_hour,trip_distance,passenger_count,trip_volume,year,month,day,hour,dayofweek,is_weekend,lag_24,lag_168,lag_8760
2023-01-01 00:00:00,17856.42,2,5336,2023,1,1,0,6,1,5073.0,5084.5,4932.5
2023-01-01 01:00:00,18699.87,2,5752,2023,1,1,1,6,1,5073.0,5084.5,4932.5
2023-01-01 02:00:00,17125.05,2,5097,2023,1,1,2,6,1,5073.0,5084.5,4932.5
2023-01-01 03:00:00,13840.05,1,3952,2023,1,1,3,6,1,5073.0,5084.5,4932.5
2023-01-01 04:00:00,9598.79,1,2501,2023,1,1,4,6,1,5073.0,5084.5,4932.5
2023-01-01 05:00:00,5408.85,1,1097,2023,1,1,5,6,1,5073.0,5084.5,4932.5
2023-01-01 06:00:00,5621.87,1,908,2023,1,1,6,6,1,5073.0,5084.5,4932.5
2023-01-01 07:00:00,6389.43,1,1021,2023,1,1,7,6,1,5073.0,5084.5,4932.5
2023-01-01 08:00:00,6723.81,1,1147,2023,1,1,8,6,1,5073.0,5084.5,4932.5
2023-01-01 09:00:00,7450.59,1,1650,2023,1,1,9,6,1,5073.0,5084.5,4932.5
2023-01-01 10:00:00,12757.0,2,2698,2023,1,1,10,6,1,5073.0,5084.5,4932.5
2023-01-01 11:00:00,13582.28,2,3354,2023,1,1,11,6,1,5073.0,5084.5,4932.5
2023-01-01 12:00:00,15828.56,2,3828,2023,1,1,12,6,1,5073.0,5084.5,4932.5
2023-01-01 13:00:00,16817.61,2,3998,2023,1,1,13,6,1,5073.0,5084.5,4932.5
2023-01-01 14:00:00,19843.22,2,4252,2023,1,1,14,6,1,5073.0,5084.5,4932.5
2023-01-01 15:00:00,19981.94,2,4326,2023,1,1,15,6,1,5073.0,5084.5,4932.5
2023-01-01 16:00:00,22408.43,2,4253,2023,1,1,16,6,1,5073.0,5084.5,4932.5
2023-01-01 17:00:00,18218.53,2,4099,2023,1,1,17,6,1,5073.0,5084.5,4932.5
2023-01-01 18:00:00,15794.68,2,3720,2023,1,1,18,6,1,5073.0,5084.5,4932.5
2023-01-01 19:00:00,77991.86,2,3442,2023,1,1,19,6,1,5073.0,5084.5,4932.5
2023-01-01 20:00:00,12785.84,2,2901,2023,1,1,20,6,1,5073.0,5084.5,4932.5
